genome	name1	name2	coverage_overlap	compared_bases_count	consensus_SNPs	population_SNPs	popANI	conANI	percent_compared	site	subject1	subject2	sample1	sample2
P_bivia.fna	SRR6748176.bam	SRR6748065.bam		0	0	0			0.0	vagina	M4	T7	SRR6748176	SRR6748065
P_vulgatus.fna	SRR6748176.bam	SRR6748065.bam		0	0	0			0.0	vagina	M4	T7	SRR6748176	SRR6748065
L_crispatus.fna	SRR6748176.bam	SRR6748072.bam	9.18743771017096e-05	138	0	0	1.0	1.0	6.821346464590044e-05	vagina	M4	T7	SRR6748176	SRR6748072
L_iners.fna	SRR6748176.bam	SRR6748072.bam	0.0004815603523376	597	0	0	1.0	1.0	0.0004527185864866	vagina	M4	T7	SRR6748176	SRR6748072
L_jensenii.fna	SRR6748176.bam	SRR6748072.bam	0.1059085841694537	95	0	0	1.0	1.0	5.678595103616428e-05	vagina	M4	T7	SRR6748176	SRR6748072
P_bivia.fna	SRR6748176.bam	SRR6748072.bam		0	0	0			0.0	vagina	M4	T7	SRR6748176	SRR6748072
L_crispatus.fna	SRR6748177.bam	SRR6748217.bam		0	0	0			0.0	vagina	M4	P2	SRR6748177	SRR6748217
L_iners.fna	SRR6748177.bam	SRR6748217.bam		0	0	0			0.0	vagina	M4	P2	SRR6748177	SRR6748217
P_bivia.fna	SRR6748177.bam	SRR6748217.bam		0	0	0			0.0	vagina	M4	P2	SRR6748177	SRR6748217
L_crispatus.fna	SRR6748177.bam	SRR6748219.bam		0	0	0			0.0	vagina	M4	P2	SRR6748177	SRR6748219
L_iners.fna	SRR6748177.bam	SRR6748219.bam		0	0	0			0.0	vagina	M4	P2	SRR6748177	SRR6748219
L_jensenii.fna	SRR6748177.bam	SRR6748219.bam		0	0	0			0.0	vagina	M4	P2	SRR6748177	SRR6748219
P_bivia.fna	SRR6748177.bam	SRR6748219.bam		0	0	0			0.0	vagina	M4	P2	SRR6748177	SRR6748219
B_fragilis.fna	SRR6748177.bam	SRR6747944.bam		0	0	0			0.0	vagina	M4	T18	SRR6748177	SRR6747944
F_prausnitzii.fna	SRR6748177.bam	SRR6747944.bam		0	0	0			0.0	vagina	M4	T18	SRR6748177	SRR6747944
L_crispatus.fna	SRR6748177.bam	SRR6747944.bam		0	0	0			0.0	vagina	M4	T18	SRR6748177	SRR6747944
L_iners.fna	SRR6748177.bam	SRR6747944.bam	0.0029129113157604	3560	74	74	0.9792134831460674	0.9792134831460674	0.0026996284219306	vagina	M4	T18	SRR6748177	SRR6747944
L_jensenii.fna	SRR6748177.bam	SRR6747944.bam		0	0	0			0.0	vagina	M4	T18	SRR6748177	SRR6747944
P_bivia.fna	SRR6748177.bam	SRR6747944.bam		0	0	0			0.0	vagina	M4	T18	SRR6748177	SRR6747944
P_vulgatus.fna	SRR6748177.bam	SRR6747944.bam		0	0	0			0.0	vagina	M4	T18	SRR6748177	SRR6747944
B_fragilis.fna	SRR6748177.bam	SRR6748192.bam		0	0	0			0.0	vagina	M4	T18	SRR6748177	SRR6748192
F_prausnitzii.fna	SRR6748177.bam	SRR6748192.bam		0	0	0			0.0	vagina	M4	T18	SRR6748177	SRR6748192
L_crispatus.fna	SRR6748177.bam	SRR6748192.bam		0	0	0			0.0	vagina	M4	T18	SRR6748177	SRR6748192
L_iners.fna	SRR6748177.bam	SRR6748192.bam	0.0029076581672115	3560	74	45	0.9873595505617978	0.9792134831460674	0.0026996284219306	vagina	M4	T18	SRR6748177	SRR6748192
L_jensenii.fna	SRR6748177.bam	SRR6748192.bam	0.0289703315881326	83	3	0	1.0	0.963855421686747	4.961298880001721e-05	vagina	M4	T18	SRR6748177	SRR6748192
P_bivia.fna	SRR6748177.bam	SRR6748192.bam		0	0	0			0.0	vagina	M4	T18	SRR6748177	SRR6748192
P_vulgatus.fna	SRR6748177.bam	SRR6748192.bam		0	0	0			0.0	vagina	M4	T18	SRR6748177	SRR6748192
B_fragilis.fna	SRR6748177.bam	SRR6748065.bam		0	0	0			0.0	vagina	M4	T7	SRR6748177	SRR6748065
F_prausnitzii.fna	SRR6748177.bam	SRR6748065.bam		0	0	0			0.0	vagina	M4	T7	SRR6748177	SRR6748065
L_crispatus.fna	SRR6748177.bam	SRR6748065.bam		0	0	0			0.0	vagina	M4	T7	SRR6748177	SRR6748065
L_iners.fna	SRR6748177.bam	SRR6748065.bam	0.0028722254987466	3560	74	74	0.9792134831460674	0.9792134831460674	0.0026996284219306	vagina	M4	T7	SRR6748177	SRR6748065
L_jensenii.fna	SRR6748177.bam	SRR6748065.bam		0	0	0			0.0	vagina	M4	T7	SRR6748177	SRR6748065
P_bivia.fna	SRR6748177.bam	SRR6748065.bam		0	0	0			0.0	vagina	M4	T7	SRR6748177	SRR6748065
P_vulgatus.fna	SRR6748177.bam	SRR6748065.bam		0	0	0			0.0	vagina	M4	T7	SRR6748177	SRR6748065
L_crispatus.fna	SRR6748177.bam	SRR6748072.bam	9.190013518643076e-05	138	0	0	1.0	1.0	6.821346464590044e-05	vagina	M4	T7	SRR6748177	SRR6748072
L_iners.fna	SRR6748177.bam	SRR6748072.bam	0.0028716161713935	3560	74	74	0.9792134831460674	0.9792134831460674	0.0026996284219306	vagina	M4	T7	SRR6748177	SRR6748072
L_jensenii.fna	SRR6748177.bam	SRR6748072.bam	0.0018808777429467	3	0	0	1.0	1.0	1.7932405590367668e-06	vagina	M4	T7	SRR6748177	SRR6748072
P_bivia.fna	SRR6748177.bam	SRR6748072.bam		0	0	0			0.0	vagina	M4	T7	SRR6748177	SRR6748072
G_vaginalis.fna	SRR6748217.bam	SRR6747944.bam	6.541351809599565e-07	1	0	0	1.0	1.0	5.99733958016224e-07	vagina	P2	T18	SRR6748217	SRR6747944
L_crispatus.fna	SRR6748217.bam	SRR6747944.bam		0	0	0			0.0	vagina	P2	T18	SRR6748217	SRR6747944
L_iners.fna	SRR6748217.bam	SRR6747944.bam	0.001259442755834	1541	46	46	0.9701492537313432	0.9701492537313432	0.0011685751118525	vagina	P2	T18	SRR6748217	SRR6747944
P_bivia.fna	SRR6748217.bam	SRR6747944.bam		0	0	0			0.0	vagina	P2	T18	SRR6748217	SRR6747944
G_vaginalis.fna	SRR6748217.bam	SRR6748192.bam	9.288519063377136e-05	142	5	5	0.9647887323943662	0.9647887323943662	8.516222203830381e-05	vagina	P2	T18	SRR6748217	SRR6748192
L_crispatus.fna	SRR6748217.bam	SRR6748192.bam		0	0	0			0.0	vagina	P2	T18	SRR6748217	SRR6748192
L_iners.fna	SRR6748217.bam	SRR6748192.bam	0.0012571740912817	1541	46	46	0.9701492537313432	0.9701492537313432	0.0011685751118525	vagina	P2	T18	SRR6748217	SRR6748192
P_bivia.fna	SRR6748217.bam	SRR6748192.bam		0	0	0			0.0	vagina	P2	T18	SRR6748217	SRR6748192
G_vaginalis.fna	SRR6748217.bam	SRR6748065.bam		0	0	0			0.0	vagina	P2	T7	SRR6748217	SRR6748065
L_crispatus.fna	SRR6748217.bam	SRR6748065.bam		0	0	0			0.0	vagina	P2	T7	SRR6748217	SRR6748065
L_iners.fna	SRR6748217.bam	SRR6748065.bam	0.0012539750849012	1556	44	44	0.9717223650385604	0.9717223650385604	0.001179949950709	vagina	P2	T7	SRR6748217	SRR6748065
P_bivia.fna	SRR6748217.bam	SRR6748065.bam		0	0	0			0.0	vagina	P2	T7	SRR6748217	SRR6748065
G_vaginalis.fna	SRR6748217.bam	SRR6748072.bam		0	0	0			0.0	vagina	P2	T7	SRR6748217	SRR6748072
L_crispatus.fna	SRR6748217.bam	SRR6748072.bam		0	0	0			0.0	vagina	P2	T7	SRR6748217	SRR6748072
L_iners.fna	SRR6748217.bam	SRR6748072.bam	0.0012537093601973	1556	44	44	0.9717223650385604	0.9717223650385604	0.001179949950709	vagina	P2	T7	SRR6748217	SRR6748072
P_bivia.fna	SRR6748217.bam	SRR6748072.bam		0	0	0			0.0	vagina	P2	T7	SRR6748217	SRR6748072
G_vaginalis.fna	SRR6748219.bam	SRR6747944.bam		0	0	0			0.0	vagina	P2	T18	SRR6748219	SRR6747944
L_crispatus.fna	SRR6748219.bam	SRR6747944.bam		0	0	0			0.0	vagina	P2	T18	SRR6748219	SRR6747944
L_iners.fna	SRR6748219.bam	SRR6747944.bam	0.000731162147065	894	35	35	0.9608501118568232	0.9608501118568232	0.0006779403958443	vagina	P2	T18	SRR6748219	SRR6747944
L_jensenii.fna	SRR6748219.bam	SRR6747944.bam		0	0	0			0.0	vagina	P2	T18	SRR6748219	SRR6747944
P_bivia.fna	SRR6748219.bam	SRR6747944.bam		0	0	0			0.0	vagina	P2	T18	SRR6748219	SRR6747944
G_vaginalis.fna	SRR6748219.bam	SRR6748192.bam	9.006314280924693e-05	137	5	5	0.9635036496350364	0.9635036496350364	8.216355224822269e-05	vagina	P2	T18	SRR6748219	SRR6748192
L_crispatus.fna	SRR6748219.bam	SRR6748192.bam		0	0	0			0.0	vagina	P2	T18	SRR6748219	SRR6748192
L_iners.fna	SRR6748219.bam	SRR6748192.bam	0.0007298441774517	894	35	35	0.9608501118568232	0.9608501118568232	0.0006779403958443	vagina	P2	T18	SRR6748219	SRR6748192
L_jensenii.fna	SRR6748219.bam	SRR6748192.bam		0	0	0			0.0	vagina	P2	T18	SRR6748219	SRR6748192
P_bivia.fna	SRR6748219.bam	SRR6748192.bam		0	0	0			0.0	vagina	P2	T18	SRR6748219	SRR6748192
G_vaginalis.fna	SRR6748219.bam	SRR6748065.bam		0	0	0			0.0	vagina	P2	T7	SRR6748219	SRR6748065
L_crispatus.fna	SRR6748219.bam	SRR6748065.bam		0	0	0			0.0	vagina	P2	T7	SRR6748219	SRR6748065
L_iners.fna	SRR6748219.bam	SRR6748065.bam	0.0011738964163483	1455	37	37	0.9745704467353952	0.9745704467353952	0.0011033593690756	vagina	P2	T7	SRR6748219	SRR6748065
L_jensenii.fna	SRR6748219.bam	SRR6748065.bam		0	0	0			0.0	vagina	P2	T7	SRR6748219	SRR6748065
P_bivia.fna	SRR6748219.bam	SRR6748065.bam		0	0	0			0.0	vagina	P2	T7	SRR6748219	SRR6748065
G_vaginalis.fna	SRR6748219.bam	SRR6748072.bam		0	0	0			0.0	vagina	P2	T7	SRR6748219	SRR6748072
L_crispatus.fna	SRR6748219.bam	SRR6748072.bam		0	0	0			0.0	vagina	P2	T7	SRR6748219	SRR6748072
L_iners.fna	SRR6748219.bam	SRR6748072.bam	0.0011776852837737	1460	37	37	0.9746575342465752	0.9746575342465752	0.0011071509820277	vagina	P2	T7	SRR6748219	SRR6748072
L_jensenii.fna	SRR6748219.bam	SRR6748072.bam		0	0	0			0.0	vagina	P2	T7	SRR6748219	SRR6748072
P_bivia.fna	SRR6748219.bam	SRR6748072.bam		0	0	0			0.0	vagina	P2	T7	SRR6748219	SRR6748072
G_vaginalis.fna	SRR6747944.bam	SRR6748065.bam		0	0	0			0.0	vagina	T18	T7	SRR6747944	SRR6748065
L_crispatus.fna	SRR6747944.bam	SRR6748065.bam		0	0	0			0.0	vagina	T18	T7	SRR6747944	SRR6748065
L_iners.fna	SRR6747944.bam	SRR6748065.bam	0.9425290893810444	1194387	9908	9768	0.9918217462179344	0.991704531278388	0.9057306438158792	vagina	T18	T7	SRR6747944	SRR6748065
L_jensenii.fna	SRR6747944.bam	SRR6748065.bam		0	0	0			0.0	vagina	T18	T7	SRR6747944	SRR6748065
P_bivia.fna	SRR6747944.bam	SRR6748065.bam		0	0	0			0.0	vagina	T18	T7	SRR6747944	SRR6748065
P_vulgatus.fna	SRR6747944.bam	SRR6748065.bam		0	0	0			0.0	vagina	T18	T7	SRR6747944	SRR6748065
G_vaginalis.fna	SRR6747944.bam	SRR6748072.bam		0	0	0			0.0	vagina	T18	T7	SRR6747944	SRR6748072
L_crispatus.fna	SRR6747944.bam	SRR6748072.bam		0	0	0			0.0	vagina	T18	T7	SRR6747944	SRR6748072
L_iners.fna	SRR6747944.bam	SRR6748072.bam	0.9422339123800928	1194322	9921	9771	0.9918187892377432	0.9916931949675212	0.9056813528475012	vagina	T18	T7	SRR6747944	SRR6748072
L_jensenii.fna	SRR6747944.bam	SRR6748072.bam		0	0	0			0.0	vagina	T18	T7	SRR6747944	SRR6748072
P_bivia.fna	SRR6747944.bam	SRR6748072.bam		0	0	0			0.0	vagina	T18	T7	SRR6747944	SRR6748072
G_vaginalis.fna	SRR6748192.bam	SRR6748065.bam		0	0	0			0.0	vagina	T18	T7	SRR6748192	SRR6748065
L_crispatus.fna	SRR6748192.bam	SRR6748065.bam		0	0	0			0.0	vagina	T18	T7	SRR6748192	SRR6748065
L_iners.fna	SRR6748192.bam	SRR6748065.bam	0.9436119733837156	1196165	9981	9837	0.991776218163882	0.9916558334343506	0.9070789413816638	vagina	T18	T7	SRR6748192	SRR6748065
L_jensenii.fna	SRR6748192.bam	SRR6748065.bam		0	0	0			0.0	vagina	T18	T7	SRR6748192	SRR6748065
P_bivia.fna	SRR6748192.bam	SRR6748065.bam		0	0	0			0.0	vagina	T18	T7	SRR6748192	SRR6748065
P_vulgatus.fna	SRR6748192.bam	SRR6748065.bam		0	0	0			0.0	vagina	T18	T7	SRR6748192	SRR6748065
G_vaginalis.fna	SRR6748192.bam	SRR6748072.bam		0	0	0			0.0	vagina	T18	T7	SRR6748192	SRR6748072
L_crispatus.fna	SRR6748192.bam	SRR6748072.bam		0	0	0			0.0	vagina	T18	T7	SRR6748192	SRR6748072
L_iners.fna	SRR6748192.bam	SRR6748072.bam	0.9432966925502332	1196087	9994	9839	0.9917740097501268	0.9916444205145613	0.9070197922196104	vagina	T18	T7	SRR6748192	SRR6748072
L_jensenii.fna	SRR6748192.bam	SRR6748072.bam		0	0	0			0.0	vagina	T18	T7	SRR6748192	SRR6748072
P_bivia.fna	SRR6748192.bam	SRR6748072.bam		0	0	0			0.0	vagina	T18	T7	SRR6748192	SRR6748072
