genome	s1	s2	subject1	subject2	site1	site2	pair_class	popANI	breadth	shared_strain	bray_curtis	verdict	is_generalist	confidence
Megasphaera_lornae.fna	42C	42V	42	42	cervix	vagina	within_cervix_vagina	0.9999850492562004	0.937589705427944	True	0.2875804750689081	contamination_suspect	False	medium
Gardnerella_leopoldii.fna	42C	42V	42	42	cervix	vagina	within_cervix_vagina	0.999984795865489	0.5146080514621744	True	0.2875804750689081	contamination_suspect	False	medium
G_vaginalis.fna	22C	22V	22	22	cervix	vagina	within_cervix_vagina	0.9999846627584588	0.860268584855758	True	0.2148888804022617	contamination_suspect	False	medium
Aerococcus_christensenii.fna	42C	42V	42	42	cervix	vagina	within_cervix_vagina	0.999983235329866	0.7679010740451323	True	0.2875804750689081	contamination_suspect	False	medium
Gardnerella_leopoldii.fna	33C	33V	33	33	cervix	vagina	within_cervix_vagina	0.9999819565016363	0.5781709568112334	True	0.47039021941864	contamination_suspect	False	medium
Gardnerella_piotii.fna	22C	22V	22	22	cervix	vagina	within_cervix_vagina	0.999980330620416	0.9040712091125536	True	0.2148888804022617	contamination_suspect	False	medium
Gardnerella_piotii.fna	3C	3V	3	3	cervix	vagina	within_cervix_vagina	0.999978807642267	0.8701783850178978	True	0.3803243545186398	contamination_suspect	False	medium
Gardnerella_piotii.fna	42C	42V	42	42	cervix	vagina	within_cervix_vagina	0.9999622681498228	0.8203879882371925	True	0.2875804750689081	contamination_suspect	False	medium
Gardnerella_leopoldii.fna	22C	22V	22	22	cervix	vagina	within_cervix_vagina	0.9999544924029082	0.7307070637259089	True	0.2148888804022617	contamination_suspect	False	medium
Gardnerella_swidsinskii.fna	22C	22V	22	22	cervix	vagina	within_cervix_vagina	0.9999539350945482	0.6521548254421043	True	0.2148888804022617	contamination_suspect	False	medium
Gardnerella_piotii.fna	31C	31V	31	31	cervix	vagina	within_cervix_vagina	0.9999522818510947	0.8557317342237766	True	0.3000974360043508	contamination_suspect	False	medium
G_vaginalis.fna	31C	31V	31	31	cervix	vagina	within_cervix_vagina	0.9999263929761234	0.8147781644062694	True	0.3000974360043508	contamination_suspect	False	medium
L_iners.fna	22C	22V	22	22	cervix	vagina	within_cervix_vagina	0.9999126323862036	0.9374050200955486	True	0.2148888804022617	contamination_suspect	False	medium
Mobiluncus_curtisii.fna	42C	42V	42	42	cervix	vagina	within_cervix_vagina	0.999825992402367	0.7228847251620334	True	0.2875804750689081	contamination_suspect	False	medium
L_iners.fna	23C	23V	23	23	cervix	vagina	within_cervix_vagina	1.0	0.8156024872980966	True	0.9031383527640402	translocation_candidate	False	high
L_iners.fna	2C	2V	2	2	cervix	vagina	within_cervix_vagina	1.0	0.7927565026162129	True	0.917160313961666	translocation_candidate	False	high
Prevotella_amnii.fna	7C	7V	7	7	cervix	vagina	within_cervix_vagina	1.0	0.7957319679799887	True	0.8104106945069303	translocation_candidate	False	high
Sneathia_vaginalis.fna	28C	28V	28	28	cervix	vagina	within_cervix_vagina	1.0	0.7317330914450932	True	0.8011329277728844	translocation_candidate	False	high
Gardnerella_swidsinskii.fna	7C	7V	7	7	cervix	vagina	within_cervix_vagina	0.9999992028525124	0.8565042812480584	True	0.8104106945069303	translocation_candidate	False	high
L_iners.fna	8C	8V	8	8	cervix	vagina	within_cervix_vagina	0.999999171560672	0.9153628573595208	True	0.6898164432169075	translocation_candidate	False	high
Sneathia_vaginalis.fna	7C	7V	7	7	cervix	vagina	within_cervix_vagina	0.9999982134051782	0.8461915830451462	True	0.8104106945069303	translocation_candidate	False	high
Gardnerella_piotii.fna	41C	41V	41	41	cervix	vagina	within_cervix_vagina	0.9999958360745842	0.79085451593676	True	0.8826014716425424	translocation_candidate	False	high
Gardnerella_piotii.fna	7C	7V	7	7	cervix	vagina	within_cervix_vagina	0.9999910155700172	0.8796709575228291	True	0.8104106945069303	translocation_candidate	False	high
L_iners.fna	41C	41V	41	41	cervix	vagina	within_cervix_vagina	0.99999090958675	0.6673602790627132	True	0.8826014716425424	translocation_candidate	False	high
Fannyhessea_vaginae.fna	28C	28V	28	28	cervix	vagina	within_cervix_vagina	0.9999901283154464	0.8327468153684376	True	0.8011329277728844	translocation_candidate	False	high
Gardnerella_leopoldii.fna	35C	35V	35	35	cervix	vagina	within_cervix_vagina	0.999989344396218	0.5507081199888636	True	0.9702386012320532	translocation_candidate	False	high
Prevotella_amnii.fna	39C	39V	39	39	cervix	vagina	within_cervix_vagina	0.999988023484385	0.7818638766817549	True	0.671872635312406	translocation_candidate	False	high
L_iners.fna	28C	28V	28	28	cervix	vagina	within_cervix_vagina	0.9999838671036532	0.9400947903238036	True	0.8011329277728844	translocation_candidate	False	high
Sneathia_vaginalis.fna	39C	39V	39	39	cervix	vagina	within_cervix_vagina	0.9999838429328988	0.8889060226392275	True	0.671872635312406	translocation_candidate	False	high
Megasphaera_lornae.fna	39C	39V	39	39	cervix	vagina	within_cervix_vagina	0.9999803687726064	0.7450948843451344	True	0.671872635312406	translocation_candidate	False	high
L_crispatus.fna	34C	34V	34	34	cervix	vagina	within_cervix_vagina	0.9999783146899904	0.5470621004507525	True	0.8683535150822901	translocation_candidate	True	low_generalist
Gardnerella_leopoldii.fna	39C	39V	39	39	cervix	vagina	within_cervix_vagina	0.9999779315964368	0.7681737539520209	True	0.671872635312406	translocation_candidate	False	high
Gardnerella_piotii.fna	39C	39V	39	39	cervix	vagina	within_cervix_vagina	0.9999698913076204	0.7874811060727305	True	0.671872635312406	translocation_candidate	False	high
G_vaginalis.fna	39C	39V	39	39	cervix	vagina	within_cervix_vagina	0.9999693636837108	0.8026125610679102	True	0.671872635312406	translocation_candidate	False	high
Gardnerella_piotii.fna	28C	28V	28	28	cervix	vagina	within_cervix_vagina	0.9999625977134736	0.7923989607105104	True	0.8011329277728844	translocation_candidate	False	high
L_iners.fna	26C	26V	26	26	cervix	vagina	within_cervix_vagina	0.9999163086536852	0.9242162736027906	True	0.5735025680176257	translocation_candidate	False	high
Gardnerella_swidsinskii.fna	39C	39V	39	39	cervix	vagina	within_cervix_vagina	0.99989118194379	0.6839018108849734	True	0.671872635312406	translocation_candidate	False	high
L_iners.fna	24C	24V	24	24	cervix	vagina	within_cervix_vagina	0.9994654263486128	0.9433396526882536	True	0.7186155597467219	translocation_candidate	False	high
